country_code,country,year,erf,fce,gdp,trd,up
BGR,Bulgaria,1992,37.889,27490906591.1287,32755409471.907,100.049800796813,67.1506882200337
BGR,Bulgaria,1993,37.272,26511625727.5791,32270559030.2831,84.0414854466377,67.4275283813477
BGR,Bulgaria,1994,38.752,25323307897.5768,32857241445.8588,90.7201293759513,67.7225112915039
BGR,Bulgaria,1995,39.384,30157748846.7192,33809161451.1369,55.2627350026692,67.8335418701172
BGR,Bulgaria,1996,38.614,29480930378.7091,35569061221.1998,85.8207914540411,67.6981964111328
BGR,Bulgaria,1997,38.456,20066625444.2774,30548352778.3154,86.4637364673225,67.6594467163086
BGR,Bulgaria,1998,39.037,20980782472.1986,31705866815.773,77.0452030341,67.8654022216797
BGR,Bulgaria,1999,38.244,21774404396.9305,29043813399.5103,90.0749616578503,68.0479965209961
BGR,Bulgaria,2000,37.313,23392246602.2055,30376118589.1044,77.7457041594489,68.2631454467773
BGR,Bulgaria,2001,37.864,24829005030.3273,31537611343.1357,79.0813687477668,69.196711983564
BGR,Bulgaria,2002,38.178,25958683695.8675,33389478145.9504,75.2696110143524,69.4859161376953
BGR,Bulgaria,2003,38.947,27733848445.5766,35138136419.3122,79.0138853713575,69.7808456420898
BGR,Bulgaria,2004,40.399,30063675478.7002,37425778712.9317,93.063897964183,69.9193344116211
BGR,Bulgaria,2005,40.256,31826983133.5263,40066672175.5903,99.7142112127381,70.0869598388672
BGR,Bulgaria,2006,42.396,34349639034.0055,42792243384.3764,111.04746275381,70.5075225830078
BGR,Bulgaria,2007,44.564,37380132548.0384,45639805260.6518,123.532557660753,70.6844177246094
BGR,Bulgaria,2008,46.102,38568260132.9817,48437323784.9572,124.688747515359,70.902099609375
BGR,Bulgaria,2009,44.88,36795877976.4174,46816058020.3321,92.6926456036375,71.3017349243164
BGR,Bulgaria,2010,43.225,37647946253.6756,47544216166.3084,103.380522321192,71.5149307250977
BGR,Bulgaria,2011,42.43,38423516963.0634,48537973523.4502,117.41810388629,72.6101653885532
BGR,Bulgaria,2012,42.759,39424888417.4589,48901433349.8318,123.971322714174,72.7684860229492
BGR,Bulgaria,2013,42.786,38247128349.0637,48636020141.1525,129.688682986482,72.9632821572019
BGR,Bulgaria,2014,43.355,38685103672.4715,49097794392.256,130.248377115245,73.0844879150391
BGR,Bulgaria,2015,44.624,39680610405.8037,50765918159.1476,126.73664221295,73.1030578613281
BGR,Bulgaria,2016,44.133,40516573900.7546,52302413861.9149,122.805514356513,73.1750030517578
BGR,Bulgaria,2017,46.655,41663821653.0734,53738599840.5621,129.634429048004,73.3904571533203
BGR,Bulgaria,2018,46.887,43210510281.0981,54990790971.5665,129.166502930632,73.600212097168
BGR,Bulgaria,2019,48.474,45428821623.6462,57076766353.313,125.260418346411,73.7162322998047
BGR,Bulgaria,2020,47.203,46175656789.3126,55288418257.0389,110.423899846249,73.3239898681641
BGR,Bulgaria,2021,46.773,49222501012.1926,59616490915.7479,121.214088263823,73.346765618041
BGR,Bulgaria,2022,48.806,51677792785.9793,62051147380.8758,138.844877241238,73.4799164005224
CZE,Czechia,1992,50.725,76849204511.2518,108139165550.882,77.9611310848888,75.0901441347259
CZE,Czechia,1993,49.505,78375109345.7453,108206108282.012,78.1977381830196,74.9830160311069
CZE,Czechia,1994,49.873,81616579635.8791,111354158852.668,74.8030180799195,74.8537367272699
CZE,Czechia,1995,49.85,84097459754.8934,118281953160.126,82.9009990725253,74.7092872936794
CZE,Czechia,1996,49.471,88361151392.2716,123212636052.806,80.59955795966,74.5566488007996
CZE,Czechia,1997,48.862,90944630103.5634,122478487836.036,84.1532306677233,74.4028023190951
CZE,Czechia,1998,47.677,89910356837.9284,121996963423.806,83.9386523207327,74.2547289190302
CZE,Czechia,1999,46.674,92580369069.2796,123678521512.351,85.4571236396114,74.1194096710694
CZE,Czechia,2000,46.181,93534372260.1002,128638858401.092,97.4983956327874,74.0038256456769
CZE,Czechia,2001,46.209,96179820588.8708,132391536300.246,98.5368737300189,73.9131752504002
CZE,Czechia,2002,46.352,100599713452.915,134395228572.192,90.8792715456582,73.8360067578753
CZE,Czechia,2003,45.804,105734793788.247,138831395778.178,94.6468600665608,73.7649150201353
CZE,Czechia,2004,45.545,107367523500.94,145406922288.089,113.173975970415,73.6991647167017
CZE,Czechia,2005,45.693,110351407820.821,154676655549.654,121.191287316105,73.6375545423198
CZE,Czechia,2006,46.063,113415492232.887,164921158024.599,127.051015055016,73.578883191735
CZE,Czechia,2007,46.399,116920117290.95,173973393346.007,129.876739504889,73.5219493596925
